OLM key,with Secondary Modifier,with Material tag,with Custom Tag,MROLM Group,MROLM Subgroup,MROLM local key,Notes,include on map,reason,low occurance group,OLM data needs fixes
alcohol/bottle,,,,Household,Liquor,Liquor Bottle,used for liquor whole bottles,yes,,no,
alcohol/bottle_cap,,,,Household,Liquor,Liquor Bottle Cap,used for liquor bottle caps metal,yes,,yes,
alcohol/broken_glass,,,,Household,Liquor,Liquor Broken Glass,"used for liquor drink bottle broken glass; see other/other custom 'broken glass', softdrinks/broken_glass.",yes,,no,
alcohol/can,,,,Household,Liquor,Liquor Can,used for liquor drink cans aluminum,yes,,no,
alcohol/other,,,,Household,Liquor,Liquor Debris,legacy tags used inconsistently to capture cannabis (THC) vapes,yes,,no,OLM reclass on existing key data to smoking/vape
alcohol/packaging,,,,Household,Liquor,Liquor Packaging,"used for liquor packaging plastic pack rings, paperboard drink carriers, beer paperboard boxes",yes,,no,OLM legacy review and reclass THC objects to smoking/packaging'THC'
civic/bags_litter,,,,,,civic/bags_litter,not used,no,Not a significant data point,no,
civic/blocked_drain,,,,,,civic/blocked_drain,not used,no,out of scope,no,
civic/other,,,,,,civic/other,not used,no,Not a significant data point,no,
coffee/cup,,,,Convenient Food Drink,Drink,Poly-lined Hot Beverage Cup,"used to capture all hot drink take out cups, cold coffee drinks are classed under softdrinks/cup",yes,,no,
coffee/lid,,,,Convenient Food Drink,Drink,Hot Beverage Cup Lid,used to capture the accompanying plastic lid that goes with take out hot drink cups,yes,,no,
coffee/pod,,,,Convenient Food Drink,Drink,Single-Serve Coffee Pod,used for household coffee pods these can be plastic or foil,yes,,no,
coffee/sleeve,,,,Convenient Food Drink,Drink,Corrugated Cardboard Cup Sleeve,used to capture cardboard sleeve accompanying take out hot drink cups; legacy photos likely have these in photos untagged,yes,,no,OLM review of OLM key coffee/cup and softdrinks/cup and tag any untagged sleeves
coffee/straw,,,,,,coffee/straw,not used.   i'm capturing all straws related to take-out drinks under key softdrinks/straw and household plastic straws under food/straw material:plastic. coffee straws for cold drinks are like their cups indistinguishable from take out cold ones.,no,redundant and confusing,no,
dumping/dumping,,,,Dumping,,UNCLASS,"used for dumping instances and abandoned household garbage.  Size measured by the item's longest dimension. Small = can carry away by hand, <30cm (e.g. a ladle, a spoon). Medium = can't carry away but smaller than a fridge or couch, 30–90cm (e.g. a printer, a folded box). Large = bigger than a full garbage bag, >90cm (e.g. an ironing board, a couch cushion).",yes,,no,OLM reclass so that all photos are tagged with secondary modifiers and not left to default
dumping/dumping,small,,,Dumping,,Sml,"used for dumping instances and abandoned household garbage.  Size measured by the item's longest dimension. Small = can carry away by hand, <30cm (e.g. a ladle, a spoon). Medium = can't carry away but smaller than a fridge or couch, 30–90cm (e.g. a printer, a folded box). Large = bigger than a full garbage bag, >90cm (e.g. an ironing board, a couch cushion).",yes,,no,
dumping/dumping,medium,,,Dumping,,Med,"used for dumping instances and abandoned household garbage.  Size measured by the item's longest dimension. Small = can carry away by hand, <30cm (e.g. a ladle, a spoon). Medium = can't carry away but smaller than a fridge or couch, 30–90cm (e.g. a printer, a folded box). Large = bigger than a full garbage bag, >90cm (e.g. an ironing board, a couch cushion).",yes,,no,
dumping/dumping,large,,,Dumping,,Lrg,"used for dumping instances and abandoned household garbage.  Size measured by the item's longest dimension. Small = can carry away by hand, <30cm (e.g. a ladle, a spoon). Medium = can't carry away but smaller than a fridge or couch, 30–90cm (e.g. a printer, a folded box). Large = bigger than a full garbage bag, >90cm (e.g. an ironing board, a couch cushion).",yes,,no,
dumping/other,,,,Dumping,,Commercial Dumping,used to capture obvious commercial dumping,yes,,no,
electronics/battery,,,,Household,,Batteries,used for household batteries; I have been including size class 'AA' 'AAA' in custom field not going to be using though nor continuing this practice,yes,,no,
